,SMILES,DOI,InChI_Key, construction, architecture, complement, HOMO_exp, LUMO_exp, electrochemical_gap_exp, optical_gap_exp, V_OC_exp, J_SC_exp, fill_factor_exp,HOMO_comp,LUMO_comp,electrochemical_gap_comp,optical_gap_comp,PCE_comp,V_OC_comp,J_SC_comp,fill_factor_comp,mol_obj,PCE_exp
72,CC1=CC(c2ccc(-c3cc(C)c(-c4cc5c(s4)c4sccc4c4nc(C)c(C)nc54)s3)c3nsnc32)=S=C1,10.1021/ma101646r,CQUDIFRZXYCPCR-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.46,-3.28,2.18,1.7,0.83,11.38,45.6,-0.732078799260144,-0.631759131098987,0.974641140377034,0.741929066286701,0.195191847239897,0.565222802186135,0.583381277854208,-0.506722061295974,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E0270>,4.3
84,CN1C(=O)C2=C(c3ccc(-c4cccs4)o3)N(C)C(=O)C2=C1c1ccco1,10.1021/ja108115y,WYZYONJGBMMCPR-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.4,-3.8,1.6,1.41,0.74,11.2,60.0,-0.707302329777681,-0.955997788970584,0.351716106509432,0.409108939486252,0.491552196751832,0.0812399746261409,0.544472723434543,0.424310020157404,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CCDD0>,5.0
344,N#CC(=Cc1ccc(C=Cc2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,10.1039/B908802D,YUCUPELWWROKKP-TYDBOLCLSA-N,molecule,DSSC,TiO2,,,,,0.58,4.56,64.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-0.905575165233007,-0.779173941036072,-0.890820617379742,0.682930042783343,<rdkit.Chem.rdchem.Mol object at 0x00000227A839CEB0>,1.7
196,C[Si]1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,10.1039/b9py00325h,KSAPXMCRKXFLEP-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.4,,,1.8,0.9,9.5,51.0,-0.707302329777681,1.41343855701417,-1.36669778002188,0.856694627252373,0.66090096790151,0.941653890288354,0.17700304280438,-0.157585030750957,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D2120>,5.4
244,Cc1ccc(-c2nc3cccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)c3nc2-c2ccc(C)s2)s1,10.1021/ma1027164,FIHNDERZLYEOSE-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.26,-3.4,1.86,,0.9,7.4,59.0,-0.649490567651933,-0.706583436761663,0.630958363070771,-1.20908547012973,0.237529040027316,0.941653890288354,-0.276930092091704,0.35965501450092,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D9970>,4.4
93,COC(=O)C(C#N)=CC1=S=C(c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6ccc(-c7cc(C)c(-c8cc(C)c(-c9ccc(-c%10sc(C%11=S=C(C=C(C#N)C(=O)OC)C=C%11C)cc%10C)s9)s8)s7)c7nsnc76)cc5C)cc4C)s3)s2)C(C)=C1,10.1021/ar400088c,NYDSLBBNKCNVFG-UVGVUKCTSA-N,molecule,bulk,PC61BM,-4.98,-3.21,1.77,1.6,0.78,7.1,55.4,-0.533867043400438,-0.588111619462426,0.534297581953385,0.627163505321029,-0.325555624045362,0.296343453541694,-0.341777682791145,0.126896994137575,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D15F0>,3.07
255,Cc1ccsc1,10.1038/ncomms2411,JEDHEMYZURJGRQ-UHFFFAOYSA-N,polymer,bulk,ICBA,,,,,0.84,10.3,71.1,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.957261317413445,0.618998671915024,0.349929951336222,1.14198058294438,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C3200>,6.1
195,C[Si]1(C)c2cc(-c3cnc(-c4cccs4)c4nsnc43)sc2-c2sc(-c3cnc(-c4cccs4)c4nsnc43)cc21,10.1039/C1JM11963J,OKFDCPYGWQEVPX-UHFFFAOYSA-N,molecule,bulk,PC71BM,-5.19,-3.46,1.73,1.68,,,,-0.62058468658906,-0.743995589593002,0.491337234790102,0.718975954093567,-1.62530744261914,-3.89817438531159,-1.87650399601124,-3.45499031923167,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D22E0>,
345,N#CC(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)C(=O)O,10.1039/B908802D,GFEOIXQQLXAANX-NDQKCQEPSA-N,molecule,DSSC,TiO2,,,,,0.66,11.9,68.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.533889389539252,-0.348966983204965,0.695783768399905,0.941550065409281,<rdkit.Chem.rdchem.Mol object at 0x00000227A839CF90>,5.1
332,N#CC(=Cc1cc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)c(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,10.1039/B908802D,ORZBUASOAWGKAM-NNIBMBRCSA-N,molecule,DSSC,TiO2,,,,,0.68,14.5,61.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.893755528232317,-0.241415243747189,1.25779622112839,0.488965025813889,<rdkit.Chem.rdchem.Mol object at 0x00000227A839C430>,5.95
183,COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(OC)c5ccsc5c6OC)s4)c3nc2-c2cccc(OC)c2)c1,10.1021/ar5000743,DAYYNNRDMWPSNV-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.12,-3.38,1.74,1.74,0.71,7.0,61.5,-0.591678805526186,-0.694112719151217,0.502077321580922,0.78783529067297,-0.329789343324104,-0.0800876345605242,-0.363393546357625,0.521292528642131,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CBAC0>,3.06
75,CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sccc4C5(C)C)s3)N(C)C(=O)C2=C1c1cccs1,10.1039/C1EE01072G,PMSGCWOFUHVEDL-UHFFFAOYSA-N,polymer,bulk,PC71BM,-4.95,-3.31,1.64,1.31,0.47,10.8,45.0,-0.521478808659207,-0.650465207514656,0.394676453672715,0.29434337852058,-0.651552008508491,-1.37070850805384,0.458009269168623,-0.545515064689865,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CCCF0>,2.3
336,N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)N(c2ccc(C(=O)O)cc2)C3=O)s1)c1ccc([N+](=O)[O-])cc1,10.1021/jp101945z,RCADVNRMHAASQG-VCNVVWDHSA-N,molecule,DSSC,TiO2,-5.1,-3.3,1.8,1.73,0.68,13.7,62.0,-0.583419982365364,-0.644229848709433,0.566517842325847,0.776358734576403,0.830249739051187,-0.241415243747189,1.08486931259655,0.553620031470374,<rdkit.Chem.rdchem.Mol object at 0x00000227A839C7B0>,5.8
163,COc1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(OC)c(OC)c3)c3ccccc23)cc1OC,10.1021/cm102189g,MOLAQZWIAWJHSK-UHFFFAOYSA-N,molecule,bulk,PC61BM,,,,,0.89,3.1,45.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-1.08762509421891,0.887878020559465,-1.20641222545035,-0.545515064689865,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D8B30>,1.27
16,C=Cc1ccc2c3ccc(C=Cc4cccs4)cc3n(-c3ccc(OC)cc3)c2c1,10.1039/C1EE01072G,KJOPSPNXGZJNOG-XDHOZWIPSA-N,polymer,bulk,PC61BM,-5.52,-2.92,2.6,2.6,0.7,1.08,45.0,-0.756855268742607,-0.407286214110958,1.4257247855915,1.77481911497775,-1.45595867146946,-0.133863504289413,-1.64305266949325,-0.545515064689865,<rdkit.Chem.rdchem.Mol object at 0x00000227A66DAF20>,0.4
66,CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2cccc4nsnc42)cc1C3(C)C,10.1021/ma201158d,AWVHTSSPCHNCPD-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.325,-3.65,1.675,,0.79,11.45,49.0,-0.676331742924602,-0.862467406892239,0.432266757440588,-1.20908547012973,0.262931355699768,0.350119323270583,0.598512382350744,-0.286895042063927,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E0890>,4.46
228,Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,10.1021/ar5000743,BOUZSMSNJFUUCG-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.04,-3.57,1.47,1.59,0.69,17.07,66.3,-0.558643512882901,-0.812584536450455,0.212094978228763,0.615686949224462,1.68122731407832,-0.187639374018301,1.81332391478693,0.831636555793257,<rdkit.Chem.rdchem.Mol object at 0x00000227A3C94350>,7.81
7,C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc21)c1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1039/B908802D,VIGCQTBKIXJJHG-GPAWKIAZSA-N,molecule,bulk,PC61BM,,,,,0.84,1.25,34.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-1.47712726786317,0.618998671915024,-1.60630570143024,-1.2567201269112,<rdkit.Chem.rdchem.Mol object at 0x00000227A66DAE40>,0.35
181,COc1ccc2c(c1)-c1cc(OC)c(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1[Si]2(C)C,10.1021/ma102173a,RUZKPWMSIMRBJA-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.27666666667,-3.55666666667,1.72,1.77333333333,0.67,11.1,54.3,-0.656372920287327,-0.804270724712236,0.480597147999281,0.826090477657702,0.0893488652713482,-0.295191113476077,0.522856859868063,0.0557764879154416,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CB510>,4.05
114,COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)sc(-c3cccs3)c2c1F,10.1021/ar5000743,YKKLIMFBECHPNB-UHFFFAOYSA-N,polymer,bulk,PC71BM,-4.95,-3.12,1.83,1.66,0.6,13.7,67.7,-0.521478808659207,-0.531993390215419,0.598738102698309,0.696022841900432,0.745575353476349,-0.671622201578295,1.08486931259655,0.922153563712336,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D55F0>,5.6
315,Cn1c2ccc(C=C(C#N)C#N)cc2c2cc(C=C(C#N)C#N)ccc21,10.1016/j.solmat.2010.08.032,GSEOKQXHCMWCSR-UHFFFAOYSA-N,molecule,bulk,C60,,,,2.5,0.154,0.859,28.0,1.52257992364401,1.41343855701417,-1.36669778002188,1.66005355401208,-1.60413884622543,-3.07002599148671,-1.69082372797518,-1.6446501608501,<rdkit.Chem.rdchem.Mol object at 0x00000227A8373510>,0.05
311,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3ccccc3)ccc1-2,10.1039/B908802D,OTCULOQKTBEVLJ-UHFFFAOYSA-N,molecule,DSSC,TiO2,,,,,0.61,18.14,56.0,-0.599937628687007,-0.407286214110958,1.01760148754032,-1.20908547012973,0.982663633085897,-0.617846331849407,2.04461365494827,0.165689997531466,<rdkit.Chem.rdchem.Mol object at 0x00000227A8373190>,6.16
224,Cc1cc2cc3c(C#C[Si](C)(C)C)c4cc5sc(C)cc5cc4c(C#C[Si](C)(C)C)c3cc2s1,10.1021/cm102189g,SXJYBCLSWCIEOC-UHFFFAOYSA-N,molecule,bulk,PC61BM,,,,,0.84,2.96,40.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-1.20193551474494,0.618998671915024,-1.23667443444343,-0.868790092972288,<rdkit.Chem.rdchem.Mol object at 0x00000227A3C94890>,1.0
157,COc1cc2c3ccsc3c3sc(-c4sc(-c5ccc(-c6cc(C)cs6)c6nsnc65)cc4C)cc3c2cc1OC,10.1039/C1CC13690A,JPCUGFGYONOECN-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.14,-3.54,1.6,1.64,0.64,13.5,62.0,-0.599937628687007,-0.793878460034786,0.351716106509432,0.673069729707298,0.605862617277865,-0.456518722662742,1.04163758546359,0.553620031470374,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D8890>,5.27
108,COC(=O)c1cc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2s1,10.1039/C1EE01072G,GDUJLSJJFJQERQ-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.04,-3.29,1.75,1.6,0.72,13.9,59.0,-0.558643512882901,-0.63799448990421,0.512817408371743,0.627163505321029,0.830249739051187,-0.0263117648316358,1.12810103972951,0.35965501450092,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D5C10>,5.8
266,Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C(C)=C3)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,10.1021/cm900788e,MJGXZKRSCUBSDA-UHFFFAOYSA-N,polymer,bulk,PC61BM,-4.845,-3.465,1.38,,0.535,2.01,31.0,-0.478119987064896,-0.747113268995613,0.115434197111376,-1.20908547012973,-1.48136098714191,-1.02116535481607,-1.44202513832499,-1.45068514388065,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D3040>,0.34
60,CC1(C)c2ccccc2-c2ccc(N(c3ccc(C=C(C#N)c4ccc(C=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,10.1039/B908802D,SXMYBEOMQJDUDW-OQXOEEKASA-N,molecule,DSSC,TiO2,,,,,0.61,12.48,64.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.411111530455735,-0.617846331849407,0.82115577708549,0.682930042783343,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E0970>,4.81
113,COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4cc(F)c(C)s4)c4ccsc4c5-c4cc(F)c(C)s4)s3)sc(-c3cccs3)c2c1F,10.1021/ar5000743,HKSSPALTIDAEKT-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.2,-3.3,1.9,1.64,0.78,15.2,72.4,-0.62471409816947,-0.644229848709433,0.673918710234054,0.673069729707298,2.01569113709893,0.296343453541694,1.40910726609375,1.22603209029781,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D5DD0>,8.6
254,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cncc5nc6c7ccsc7c7sccc7c6nc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,10.1021/ma2008699,KQZHKQGNQWJWOY-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.26,-3.69,1.57,1.48,0.74,10.1,43.0,-0.649490567651933,-0.887408842113131,0.31949584613697,0.489444832162222,-0.266283554142975,0.0812399746261409,0.306698224203261,-0.674825076002835,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C39E0>,3.21
109,COC(=O)c1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,10.1039/C1EE01072G,KZTSOXNQCPFVQV-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.04,-3.19,1.85,1.605,0.56,15.6,63.0,-0.558643512882901,-0.57564090185198,0.62021827627995,0.632901783369313,0.745575353476349,-0.886725680493848,1.49557072035967,0.618275037126858,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D5270>,5.6
298,Cc1nc2c(-c3cccs3)nnc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)c2nc1C,10.1039/C1EE01072G,GCARMNRJEFIHNL-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.76,-3.99,1.77,1.79,0.91,0.86,44.0,-0.85596114667246,-1.07446960626982,0.534297581953385,0.845218071155806,-1.45595867146946,0.995429760017242,-1.69060756933951,-0.61017007034635,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E1200>,0.4
137,COc1c2ccsc2c(OC)c2c1=S=C(c1ccc(-c3sc(-c4nc(C)c(-c5cccs5)s4)nc3C)s1)C=2,10.1002/adma.201200721,RBBURVNHAMVHHV-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.27333333333,-2.9,2.37333333333,1.95,0.86,7.84,57.0,-0.654996449757771,-0.394815496500512,1.18228281832932,1.02884296870088,-0.0080266781397164,0.7265504113728,-0.181820292399192,0.23034500318795,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CE890>,3.82
17,C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,10.1039/C1EE01072G,XSCPXDQFHMVTBI-AWQADKOQSA-N,polymer,bulk,PC61BM,-5.49,-3.02,2.47,2.47,0.55,0.86,48.0,-0.744467034001376,-0.469639802163188,1.28610365731084,1.62562388572238,-1.49829586425688,-0.940501550222736,-1.69060756933951,-0.351550047720411,<rdkit.Chem.rdchem.Mol object at 0x00000227A66DA9E0>,0.3
155,COc1cc(OC)cc(-c2nc3c(nc2-c2cc(OC)cc(OC)c2)c(-c2cccs2)sc3-c2cccs2)c1,10.1021/ar900061z,NPDXAAWJEFSZSD-UHFFFAOYSA-N,polymer,bulk,PC61BM,,,,1.2,0.56,3.1,58.0,1.52257992364401,1.41343855701417,-1.36669778002188,0.16810126145834,-1.1977017954662,-0.886725680493848,-1.20641222545035,0.295000008844435,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D8DD0>,1.01
24,CC(=O)c1sc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2c1F,10.1039/c1jm11229e,WPQCMXZUXLWZCN-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.34,-3.53,1.81,1.65,0.86,7.3,62.0,-0.682525860295217,-0.787643101229563,0.577257929116668,0.684546285803865,0.0258430760902191,0.7265504113728,-0.298545955658185,0.553620031470374,<rdkit.Chem.rdchem.Mol object at 0x00000227A56C0E40>,3.9
101,COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4ccc5c6ccc(-c7cc(C)c(-c8ccc(-c9sc(C=C(C#N)C(=O)OC)cc9C)s8)s7)cc6n(C)c5c4)cc3C)s2)s1,10.1016/j.orgel.2014.06.012,IAYAFSRQMGWLJQ-JDRNCQTESA-N,molecule,bulk,PC61BM,-5.14,-3.21,1.93,1.92,0.97,6.15,61.0,-0.599937628687007,-0.588111619462426,0.706138970606516,0.99441330041118,-0.0884673444358132,1.31808497839057,-0.547128386672707,0.488965025813889,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D1270>,3.63
312,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3ccccc3)ccc1-2,10.1039/B908802D,OTCULOQKTBEVLJ-UHFFFAOYSA-N,molecule,DSSC,TiO2,,,,,0.61,18.14,56.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.982663633085897,-0.617846331849407,2.04461365494827,0.165689997531466,<rdkit.Chem.rdchem.Mol object at 0x00000227A8373270>,6.16
116,COC(=O)c1sc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,10.1039/C1EE01072G,XGVWYFHGQNLNIK-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.15,-3.31,1.84,1.63,0.74,14.5,69.0,-0.604067040267417,-0.650465207514656,0.60947818948913,0.661593173610731,1.5076448236499,0.0812399746261409,1.25779622112839,1.00620507106577,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D5510>,7.4
249,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(C6=C7C(=O)N(C)C(c8cccs8)=C7C(=O)N6C)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,10.1039/C1EE01072G,QKSYQURVUYMYAP-UHFFFAOYSA-N,polymer,bulk,PC71BM,,,,1.4,0.75,10.3,54.0,1.52257992364401,1.41343855701417,-1.36669778002188,0.397632383389685,0.152854654452477,0.135015844355029,0.349929951336222,0.0363799862184964,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C3D60>,4.2
297,Cc1nc(-c2nc(C)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)sc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1002/adma.201200721,KCTYWEWDJUBVCZ-UHFFFAOYSA-N,molecule,bulk,PC71BM,-5.42,-2.48,2.94,2.58,0.71,3.42,30.1,-0.715561152938502,-0.132930426681145,1.79088773647941,1.75186600278462,-1.31624593527098,-0.0800876345605242,-1.13724146203762,-1.50887464897149,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E13C0>,0.73
222,Cc1cc2c3cc(C)sc3c3nc4c(cccc4-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)nc3c2s1,10.1021/ma1027164,MKQHJCXHGFCOQK-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.21,-3.53,1.68,,0.85,4.7,51.0,-0.62884350974988,-0.787643101229563,0.437636800835998,-1.20908547012973,-0.73622639408333,0.672774541643912,-0.86055840838667,-0.157585030750957,<rdkit.Chem.rdchem.Mol object at 0x00000227A3C947B0>,2.1
351,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,10.1021/ja058178e,YAITUBYBUZTCMU-XPWSMXQVSA-N,molecule,bilayer,PC61BM,,,,,0.72,1.97,34.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-1.41785519796078,-0.0263117648316358,-1.45067148375158,-1.2567201269112,<rdkit.Chem.rdchem.Mol object at 0x00000227A839A510>,0.49
